Parameter,Layer,Role,DefaultValue,ForestValue,ChangedInForest,CredibilityAction,Priority,EvidenceStatus
baseline_rate_multiplier_by_priority,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","[1,1.7,2.5]","[1,1.7,2.5]",0,KeepSeparate,P4,"NotClaimed"
beta,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.3","0.3",0,KeepSeparate,P4,"NotClaimed"
critical_priority_bonus,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","0.03","0.03",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
delay_jitter_scale,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.15","0.15",0,KeepSeparate,P4,"NotClaimed"
emergency_gate_reduction,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.03","0.03",0,KeepSeparate,P4,"NotClaimed"
enable_fast_fading,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","true","true",0,KeepSeparate,P4,"NotClaimed"
enable_stochastic,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","true","true",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
fading_sigma_dB,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","5","5",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
forest_calibration.enabled,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","true",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.source_dirs.below_canopy,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","D:\matlab bussiness\forest_v2x_matlab_package\external_data\Below_Canopy_Forestry",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.source_dirs.forest_paths,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","D:\matlab bussiness\forest_v2x_matlab_package\external_data\ForestPaths",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.source_dirs.forest_roads,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","D:\matlab bussiness\forest_v2x_matlab_package\external_data\Forest_Roads_USFS",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.blind_interference_scale_dB,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","3.2",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.blind_link_loss_scale_dB,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","7.5",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.confidence_regime_blind_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","0.135052",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.confidence_regime_qpos_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","0.764948",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.deadline_coop,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","0.2",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.deadline_emergency,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","0.077",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.interference_scale,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","2.3",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.link_distance_scale,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","1.8",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.nlosv_extra_loss_dB,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","7",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.pathloss_los_exponent,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","28.5",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.pathloss_los_offset_dB,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","48.3",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.pathloss_nlos_exponent,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","37.5",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.pathloss_nlos_offset_dB,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","52.9",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.pointcloud_stats.canopy_density_norm,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","0.775467",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.pointcloud_stats.z_mean,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","11.0464",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.pointcloud_stats.z_p75,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","18.032",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.pointcloud_stats.z_p90,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","23.2531",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.position_blind_zone_score_penalty,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","0.289896",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.position_blind_zone_sigma_penalty,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","1.55453",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.position_rsu_relief_cap,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","0.752125",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.road_stats.curvature_mean,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","0.19471",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.road_stats.curvature_norm,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","1",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.road_stats.segment_length_p50_m,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","1245.55",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.road_stats.segment_length_p75_m,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","2482.7",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.road_stats.segment_length_p90_m,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","4723.03",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.utility_blind_pos_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","0.535958",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.utility_blind_protection_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","0.49",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.utility_blind_relay_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","0.86",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.utility_low_risk_blind_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","0.15",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.utility_low_risk_guard_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","0.3",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.vegetation_stats.attenuation_norm,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","1",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.vegetation_stats.cover_density_norm,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","1",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.vegetation_stats.cover_mean,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","231.1",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.vegetation_stats.cover_p75,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","255",1,KeepSeparate,P4,"NotClaimed"
forest_calibration.stats.vegetation_stats.cover_p90,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","","255",1,KeepSeparate,P4,"NotClaimed"
gamma,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.25","0.25",0,KeepSeparate,P4,"NotClaimed"
link_bad_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.35","0.35",0,KeepSeparate,P4,"NotClaimed"
link_delay_scale,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.45","0.45",0,KeepSeparate,P4,"NotClaimed"
link_gate_weight,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","0.48","0.48",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
link_good_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.65","0.65",0,KeepSeparate,P4,"NotClaimed"
lyapunov_V,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","1","1",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
lyapunov_cost_weight,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","1","1",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
lyapunov_delay_weight,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","1","1",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
lyapunov_event_weight,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","1","1",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
lyapunov_queue_arrival_scale,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","1","1",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
lyapunov_queue_init,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","0","0",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
lyapunov_queue_max,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","12","12",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
lyapunov_queue_service_scale,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","1","1",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
lyapunov_risk_weight,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","1","1",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
lyapunov_violation_weight,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","1","1",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
mode_gate_bonus,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","0.1","0.1",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
noncritical_suppression_scale,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.7","0.7",0,KeepSeparate,P4,"NotClaimed"
physical_pdr_mode,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","sigmoid","sigmoid",0,KeepSeparate,P4,"NotClaimed"
pos_T1,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.42","0.42",0,KeepSeparate,P4,"NotClaimed"
pos_T2,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.68","0.68",0,KeepSeparate,P4,"NotClaimed"
pos_gate_weight,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","0.16","0.16",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
pos_low_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.4","0.4",0,KeepSeparate,P4,"NotClaimed"
priority_gate_bonus,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","0.02","0.02",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
redundant_delay_penalty,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.08","0.08",0,KeepSeparate,P4,"NotClaimed"
redundant_success_bonus,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","0.1","0.1",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
regime_pdr_bypass_min_blind_score,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0","0",0,KeepSeparate,P4,"NotClaimed"
regime_pdr_bypass_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.95","0.95",0,KeepSeparate,P4,"NotClaimed"
urgency_gate_weight,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","0.08","0.08",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
use_physical_delivery,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","true","true",0,KeepSeparate,P4,"NotClaimed"
utility_blind_force_mode,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","1","1",0,KeepSeparate,P4,"NotClaimed"
utility_blind_min_priority,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","2","2",0,KeepSeparate,P4,"NotClaimed"
utility_blind_pos_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.48","0.535958",1,KeepSeparate,P4,"NotClaimed"
utility_blind_protection_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.58","0.49",1,KeepSeparate,P4,"NotClaimed"
utility_blind_relay_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.78","0.86",1,KeepSeparate,P4,"NotClaimed"
utility_constraint_penalty,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","1.6","1.6",0,KeepSeparate,P4,"NotClaimed"
utility_emergency_priority_bonus,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.05","0.05",0,KeepSeparate,P4,"NotClaimed"
utility_event_activation_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.12","0.12",0,KeepSeparate,P4,"NotClaimed"
utility_event_base_gain,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.55","0.55",0,KeepSeparate,P4,"NotClaimed"
utility_force_mode_when_relay,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","true","true",0,KeepSeparate,P4,"NotClaimed"
utility_low_quality_priority_penalty,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.3","0.3",0,KeepSeparate,P4,"NotClaimed"
utility_low_risk_blind_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.18","0.15",1,KeepSeparate,P4,"NotClaimed"
utility_low_risk_guard_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.32","0.3",1,KeepSeparate,P4,"NotClaimed"
utility_low_risk_priority_penalty_scale,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.12","0.12",0,KeepSeparate,P4,"NotClaimed"
utility_low_risk_rate_penalty_scale,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.22","0.22",0,KeepSeparate,P4,"NotClaimed"
utility_low_risk_relay_penalty,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.55","0.55",0,KeepSeparate,P4,"NotClaimed"
utility_low_risk_weight_link,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.3","0.3",0,KeepSeparate,P4,"NotClaimed"
utility_low_risk_weight_pos,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.25","0.25",0,KeepSeparate,P4,"NotClaimed"
utility_low_risk_weight_urgency,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.45","0.45",0,KeepSeparate,P4,"NotClaimed"
utility_margin_sigmoid_scale,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.06","0.06",0,KeepSeparate,P4,"NotClaimed"
utility_min_priority_when_emergency,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","2","2",0,KeepSeparate,P4,"NotClaimed"
utility_min_priority_when_high_risk,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","2","2",0,KeepSeparate,P4,"NotClaimed"
utility_misdecision_blind_scale,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","1.2","1.2",0,KeepSeparate,P4,"NotClaimed"
utility_misdecision_blind_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.2","0.2",0,KeepSeparate,P4,"NotClaimed"
utility_misdecision_qpos_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.6","0.6",0,KeepSeparate,P4,"NotClaimed"
utility_misdecision_target_protection,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.55","0.55",0,KeepSeparate,P4,"NotClaimed"
utility_misdecision_urgency_scale,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.7","0.7",0,KeepSeparate,P4,"NotClaimed"
utility_mode_bias,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","[0,0.05,0.09]","[0,0.05,0.09]",0,KeepSeparate,P4,"NotClaimed"
utility_mode_level_direct,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.2","0.2",0,KeepSeparate,P4,"NotClaimed"
utility_mode_level_redundant,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.62","0.62",0,KeepSeparate,P4,"NotClaimed"
utility_mode_level_relay,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","1","1",0,KeepSeparate,P4,"NotClaimed"
utility_module_support_weight_env,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.3","0.3",0,KeepSeparate,P4,"NotClaimed"
utility_module_support_weight_rsu,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.55","0.55",0,KeepSeparate,P4,"NotClaimed"
utility_module_support_weight_traj,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.15","0.15",0,KeepSeparate,P4,"NotClaimed"
utility_noncritical_suppression,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.08","0.08",0,KeepSeparate,P4,"NotClaimed"
utility_position_activation_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.18","0.18",0,KeepSeparate,P4,"NotClaimed"
utility_position_risk_base,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.5","0.5",0,KeepSeparate,P4,"NotClaimed"
utility_position_risk_urgency_scale,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.35","0.35",0,KeepSeparate,P4,"NotClaimed"
utility_priority_bias,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","[0,0.08,0.18]","[0,0.08,0.18]",0,KeepSeparate,P4,"NotClaimed"
utility_protection_mode_weight,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.35","0.35",0,KeepSeparate,P4,"NotClaimed"
utility_protection_priority_weight,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.3","0.3",0,KeepSeparate,P4,"NotClaimed"
utility_protection_rate_weight,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.35","0.35",0,KeepSeparate,P4,"NotClaimed"
utility_redundant_blind_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.1","0.1",0,KeepSeparate,P4,"NotClaimed"
utility_redundant_qpos_threshold,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.65","0.65",0,KeepSeparate,P4,"NotClaimed"
utility_relay_penalty,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.25","0.25",0,KeepSeparate,P4,"NotClaimed"
utility_risk_tradeoff_scale,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.35","0.35",0,KeepSeparate,P4,"NotClaimed"
utility_sigmoid_scale,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.035","0.035",0,KeepSeparate,P4,"NotClaimed"
utility_support_mismatch_penalty_redundant,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.05","0.05",0,KeepSeparate,P4,"NotClaimed"
utility_support_mismatch_penalty_relay,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.18","0.18",0,KeepSeparate,P4,"NotClaimed"
utility_surplus_penalty_activation,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.2","0.2",0,KeepSeparate,P4,"NotClaimed"
utility_surplus_penalty_cost_scale,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.8","0.8",0,KeepSeparate,P4,"NotClaimed"
utility_surplus_penalty_mode_scale,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.5","0.5",0,KeepSeparate,P4,"NotClaimed"
utility_surplus_penalty_priority_scale,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.7","0.7",0,KeepSeparate,P4,"NotClaimed"
utility_surplus_penalty_protection_margin,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.05","0.05",0,KeepSeparate,P4,"NotClaimed"
utility_surplus_penalty_protection_scale,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.3","0.3",0,KeepSeparate,P4,"NotClaimed"
utility_surplus_penalty_timely_margin,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.15","0.15",0,KeepSeparate,P4,"NotClaimed"
utility_surplus_penalty_timely_scale,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.45","0.45",0,KeepSeparate,P4,"NotClaimed"
utility_weight_cost,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.07","0.07",0,KeepSeparate,P4,"NotClaimed"
utility_weight_delay,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.1","0.1",0,KeepSeparate,P4,"NotClaimed"
utility_weight_event,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.22","0.22",0,KeepSeparate,P4,"NotClaimed"
utility_weight_misdecision,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.22","0.22",0,KeepSeparate,P4,"NotClaimed"
utility_weight_position_risk,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.28","0.28",0,KeepSeparate,P4,"NotClaimed"
utility_weight_reliability,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.55","0.55",0,KeepSeparate,P4,"NotClaimed"
utility_weight_timely,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","1","1",0,KeepSeparate,P4,"NotClaimed"
